
+------------------------------------+
* tapped	敲击 磕 窃听 指派(FT)	
* hawk	鹰派(FT)
* assuming office	上任
* rhetoric	语调，词法，说法，修辞法
* adversary	 对手
* key post	关键位置
* notorious		臭名昭著 声名狼藉
* mutual	共同的
* People’s Daily	人命日报
* ruling	裁判判决
* Communist party’s		共产党
* flagship 旗舰
* core interests	核心利益
* counteractions	反制措施
* convinced		信服，相信
* assured	自信的
* hindsight		事后知晓
* invaded	入侵
* property tycoon	房产巨头
* commander-in-chief 	三军总司令
* elevated		抬高 欢呼
* secretary of state	国务卿
* institutions		机构 典章
* UN	联合国
* IMF	国际货币基金组织
* nato	北约
* consigliere	军师 顾问
* epitomised	集中体现
* Pearl Harbor	珍珠港
* dovish & hawkish
* reciprocates	往来 回复
* diplomatic	外交的
* prostitution	卖淫
* pragmatism	实用主义
* instinct 		本能 直觉
* oversee 		监管
